Date,,return_1m,return_2m,return_3m,return_6m,return_9m,return_12m
2023-02-28,CRM,-1.0972764458995088,-0.6122066880249761,0.21724450515560867,-0.2548347636161481,-0.12820712215260743,-0.10248025131757865
2023-02-28,INTU,-1.4158070796725482,-0.0982574728796497,-0.07678022303659238,-0.061010228585870574,0.1521386518698271,-0.10861406567659038
2023-02-28,LMT,-1.6322550172309844,2.3567550584950183,1.1230003524310717,0.05451777435996141,0.021822589926134617,-0.11014371849742144
2023-02-28,NOW,-1.292956813037657,-0.13441487037801148,0.6845695492304755,0.11010592524673446,0.0953066555136719,0.1443419358475435
2023-03-31,CVS,1.0827098653647802,0.5366004200042778,0.09008134232519183,0.2546581948842126,0.11265231396829245,0.137515311520777
2023-05-31,UNH,-1.238861799136878,0.6775841230558042,-0.404090832042989,-0.04886196728927972,-0.14972130121131055,-0.06866781649520426
2023-05-31,MDT,-1.702786673264243,1.238229945093865,1.0382443530462515,-0.008933677898986803,0.06822353734179076,0.06920528776748247
2023-07-31,AAPL,-0.8644601768157324,-0.47312881869632983,-0.2387926579385552,-0.30196270580600426,-0.21232999449970613,-0.20091773692929094
2023-07-31,COST,-0.21030679189883317,0.48821074206514603,0.4796638156752271,-0.16216522296118008,-0.046926967437971756,-0.0917291396828065
2023-07-31,WFC,0.13100693047906486,1.9540036832509187,0.08746465260210612,-0.08076282331697737,-0.06084854346047186,-0.031683077362244516
2023-07-31,GE,-0.5029350212733616,0.2548824945675585,0.04935656618623807,-0.2508343637783983,-0.18502351879305,-0.10813716068422285
2023-08-31,UNH,-1.5288225212094297,0.7265886493304858,0.42149115648023283,-0.07963071959327939,0.08745280880280104,-0.03315464525850609
